BioSample,LibraryName,Run,Organism,BioProject,fq1,fq2
Chrom_40_3_b_A2,acute,Chrom_40_3_b_A2,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A2-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A2-read-4.fastq.gz
Chrom_40_3_b_A3,acute,Chrom_40_3_b_A3,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A3-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A3-read-4.fastq.gz
Chrom_40_3_b_A4,acute,Chrom_40_3_b_A4,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A4-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A4-read-4.fastq.gz
Chrom_40_3_b_A5,acute,Chrom_40_3_b_A5,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A5-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A5-read-4.fastq.gz
Chrom_40_3_b_A6,acute,Chrom_40_3_b_A6,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A6-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A6-read-4.fastq.gz
Chrom_40_3_b_A7,acute,Chrom_40_3_b_A7,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A7-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A7-read-4.fastq.gz
Chrom_40_3_b_A8,acute,Chrom_40_3_b_A8,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A8-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A8-read-4.fastq.gz
Chrom_40_3_b_A9,acute,Chrom_40_3_b_A9,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A9-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_A9-read-4.fastq.gz
Chrom_40_3_b_B1,acute,Chrom_40_3_b_B1,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B1-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B1-read-4.fastq.gz
Chrom_40_3_b_B10,acute,Chrom_40_3_b_B10,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B10-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B10-read-4.fastq.gz
Chrom_40_3_b_B11,acute,Chrom_40_3_b_B11,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B11-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B11-read-4.fastq.gz
Chrom_40_3_b_B12,acute,Chrom_40_3_b_B12,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B12-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B12-read-4.fastq.gz
Chrom_40_3_b_B2,acute,Chrom_40_3_b_B2,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B2-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B2-read-4.fastq.gz
Chrom_40_3_b_B3,acute,Chrom_40_3_b_B3,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B3-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B3-read-4.fastq.gz
Chrom_40_3_b_B4,acute,Chrom_40_3_b_B4,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B4-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B4-read-4.fastq.gz
Chrom_40_3_b_B5,acute,Chrom_40_3_b_B5,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B5-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B5-read-4.fastq.gz
Chrom_40_3_b_B6,acute,Chrom_40_3_b_B6,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B6-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B6-read-4.fastq.gz
Chrom_40_3_b_B7,acute,Chrom_40_3_b_B7,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B7-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B7-read-4.fastq.gz
Chrom_40_3_b_B8,acute,Chrom_40_3_b_B8,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B8-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B8-read-4.fastq.gz
Chrom_40_3_b_B9,acute,Chrom_40_3_b_B9,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B9-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_B9-read-4.fastq.gz
Chrom_40_3_b_C1,acute,Chrom_40_3_b_C1,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C1-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C1-read-4.fastq.gz
Chrom_40_3_b_C10,acute,Chrom_40_3_b_C10,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C10-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C10-read-4.fastq.gz
Chrom_40_3_b_C11,acute,Chrom_40_3_b_C11,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C11-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C11-read-4.fastq.gz
Chrom_40_3_b_C12,acute,Chrom_40_3_b_C12,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C12-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C12-read-4.fastq.gz
Chrom_40_3_b_C2,acute,Chrom_40_3_b_C2,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C2-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C2-read-4.fastq.gz
Chrom_40_3_b_C3,acute,Chrom_40_3_b_C3,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C3-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C3-read-4.fastq.gz
Chrom_40_3_b_C4,acute,Chrom_40_3_b_C4,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C4-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C4-read-4.fastq.gz
Chrom_40_3_b_C5,acute,Chrom_40_3_b_C5,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C5-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C5-read-4.fastq.gz
Chrom_40_3_b_C6,acute,Chrom_40_3_b_C6,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C6-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C6-read-4.fastq.gz
Chrom_40_3_b_C7,acute,Chrom_40_3_b_C7,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C7-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C7-read-4.fastq.gz
Chrom_40_3_b_C8,acute,Chrom_40_3_b_C8,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C8-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C8-read-4.fastq.gz
Chrom_40_3_b_C9,acute,Chrom_40_3_b_C9,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C9-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_C9-read-4.fastq.gz
Chrom_40_3_b_D1,acute,Chrom_40_3_b_D1,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D1-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D1-read-4.fastq.gz
Chrom_40_3_b_D10,acute,Chrom_40_3_b_D10,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D10-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D10-read-4.fastq.gz
Chrom_40_3_b_D11,acute,Chrom_40_3_b_D11,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D11-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D11-read-4.fastq.gz
Chrom_40_3_b_D12,acute,Chrom_40_3_b_D12,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D12-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D12-read-4.fastq.gz
Chrom_40_3_b_D2,acute,Chrom_40_3_b_D2,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D2-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D2-read-4.fastq.gz
Chrom_40_3_b_D3,acute,Chrom_40_3_b_D3,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D3-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D3-read-4.fastq.gz
Chrom_40_3_b_D4,acute,Chrom_40_3_b_D4,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D4-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D4-read-4.fastq.gz
Chrom_40_3_b_D5,acute,Chrom_40_3_b_D5,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D5-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D5-read-4.fastq.gz
Chrom_40_3_b_D6,acute,Chrom_40_3_b_D6,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D6-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D6-read-4.fastq.gz
Chrom_40_3_b_D7,acute,Chrom_40_3_b_D7,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D7-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D7-read-4.fastq.gz
Chrom_40_3_b_D8,acute,Chrom_40_3_b_D8,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D8-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D8-read-4.fastq.gz
Chrom_40_3_b_D9,acute,Chrom_40_3_b_D9,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D9-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_D9-read-4.fastq.gz
Chrom_40_3_b_E1,acute,Chrom_40_3_b_E1,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E1-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E1-read-4.fastq.gz
Chrom_40_3_b_E10,acute,Chrom_40_3_b_E10,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E10-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E10-read-4.fastq.gz
Chrom_40_3_b_E11,acute,Chrom_40_3_b_E11,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E11-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E11-read-4.fastq.gz
Chrom_40_3_b_E12,acute,Chrom_40_3_b_E12,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E12-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E12-read-4.fastq.gz
Chrom_40_3_b_E2,acute,Chrom_40_3_b_E2,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E2-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E2-read-4.fastq.gz
Chrom_40_3_b_E3,acute,Chrom_40_3_b_E3,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E3-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E3-read-4.fastq.gz
Chrom_40_3_b_E4,acute,Chrom_40_3_b_E4,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E4-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E4-read-4.fastq.gz
Chrom_40_3_b_E5,acute,Chrom_40_3_b_E5,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E5-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E5-read-4.fastq.gz
Chrom_40_3_b_E6,acute,Chrom_40_3_b_E6,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E6-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E6-read-4.fastq.gz
Chrom_40_3_b_E7,acute,Chrom_40_3_b_E7,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E7-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E7-read-4.fastq.gz
Chrom_40_3_b_E8,acute,Chrom_40_3_b_E8,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E8-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E8-read-4.fastq.gz
Chrom_40_3_b_E9,acute,Chrom_40_3_b_E9,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E9-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_E9-read-4.fastq.gz
Chrom_40_3_b_F1,acute,Chrom_40_3_b_F1,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F1-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F1-read-4.fastq.gz
Chrom_40_3_b_F10,acute,Chrom_40_3_b_F10,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F10-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F10-read-4.fastq.gz
Chrom_40_3_b_F11,acute,Chrom_40_3_b_F11,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F11-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F11-read-4.fastq.gz
Chrom_40_3_b_F12,acute,Chrom_40_3_b_F12,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F12-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F12-read-4.fastq.gz
Chrom_40_3_b_F2,acute,Chrom_40_3_b_F2,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F2-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F2-read-4.fastq.gz
Chrom_40_3_b_F3,acute,Chrom_40_3_b_F3,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F3-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F3-read-4.fastq.gz
Chrom_40_3_b_F4,acute,Chrom_40_3_b_F4,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F4-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F4-read-4.fastq.gz
Chrom_40_3_b_F5,acute,Chrom_40_3_b_F5,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F5-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F5-read-4.fastq.gz
Chrom_40_3_b_F6,acute,Chrom_40_3_b_F6,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F6-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F6-read-4.fastq.gz
Chrom_40_3_b_F7,acute,Chrom_40_3_b_F7,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F7-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F7-read-4.fastq.gz
Chrom_40_3_b_F8,acute,Chrom_40_3_b_F8,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F8-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F8-read-4.fastq.gz
Chrom_40_3_b_F9,acute,Chrom_40_3_b_F9,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F9-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_F9-read-4.fastq.gz
Chrom_40_3_b_G1,acute,Chrom_40_3_b_G1,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G1-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G1-read-4.fastq.gz
Chrom_40_3_b_G10,acute,Chrom_40_3_b_G10,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G10-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G10-read-4.fastq.gz
Chrom_40_3_b_G11,acute,Chrom_40_3_b_G11,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G11-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G11-read-4.fastq.gz
Chrom_40_3_b_G12,acute,Chrom_40_3_b_G12,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G12-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G12-read-4.fastq.gz
Chrom_40_3_b_G2,acute,Chrom_40_3_b_G2,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G2-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G2-read-4.fastq.gz
Chrom_40_3_b_G3,acute,Chrom_40_3_b_G3,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G3-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G3-read-4.fastq.gz
Chrom_40_3_b_G4,acute,Chrom_40_3_b_G4,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G4-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G4-read-4.fastq.gz
Chrom_40_3_b_G5,acute,Chrom_40_3_b_G5,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G5-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G5-read-4.fastq.gz
Chrom_40_3_b_G6,acute,Chrom_40_3_b_G6,Drosophila melanogaster,CRVI_ACUTE_DNA,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G6-read-1.fastq.gz,/Genomics/ayroleslab2/scott/git/chromium/data/raw_acute_dna/2425__Chrom_40_3_b_G6-read-4.fastq.gz
